Gene.Name	Gene.ID
SS3	AT1G11720
PP2A11	AT1G63090
NSI	AT1G32070
AFP2	AT1G13740
VPS41	AT1G08190
GRP23	AT1G10270
AT1G11592	AT1G11592
AATP2	AT1G15500
AT1G07707	AT1G07707
AT1G62030	AT1G62030
AT1G27470	AT1G27470
LCAT1	AT1G27480
AT1G07477	AT1G07477
TIFY11A	AT1G17380
AT1G75945	AT1G75945
AT1G06515	AT1G06515
AT1G06510	AT1G06510
ACA7	AT1G08080
PRS3	AT1G10700
AT1G62480	AT1G62480
FTSH8	AT1G06430
OVA7	AT1G11870
AT1G03230	AT1G03230
NA	NA
IGMT3	AT1G21110
AT1G22180	AT1G22180
GT17	AT1G68470
HVA22G	AT1G75700
AT1G08897	AT1G08897
NAC029	AT1G69490
AT1G07000	AT1G07000
AT1G09163	AT1G09163
AT1G05080	AT1G05080
NUDT21	AT1G73540
NET3A	AT1G03470
AT1G11840	AT1G11840
AT1G24600	AT1G24600
AT1G06180	AT1G06180
AT1G57540	AT1G57540
ERF118	AT1G68550
APA2	AT1G62290
AT1G19970	AT1G19970
NA	NA
AT1G29060	AT1G29060
IP5P15	AT1G65580
AT1G03180	AT1G03180
AT1G07645	AT1G07645
PLDALPHA4	AT1G55180
AT1G12830	AT1G12830
AT1G49670	AT1G49670
AT1G16700	AT1G16700
ATG12A	AT1G54210
AT1G19490	AT1G19490
SPL8	AT1G02065
AT1G76380	AT1G76380
GLYK	AT1G80380
AT1G01080	AT1G01080
ACO4	AT1G05010
AT1G08120	AT1G08120
CBSDUF4	AT1G03270
PLL5	AT1G07630
AT1G48953	AT1G48953
SRS5	AT1G75520
AT1G01630	AT1G01630
AT1G77280	AT1G77280
AT1G19110	AT1G19110
AT1G07985	AT1G07985
AT1G01890	AT1G01890
SPS1	AT1G78510
CTL1	AT1G05850
AT1G64050	AT1G64050
AT1G33410	AT1G33410
BHLH112	AT1G61660
AT1G26690	AT1G26690
MUR4	AT1G30620
AT1G19000	AT1G19000
AT1G72760	AT1G72760
PSAT	AT1G04010
LCR31	AT1G28335
AT1G22850	AT1G22850
RPL41D	AT1G56045
AT1G62045	AT1G62045
AT1G11050	AT1G11050
NA	NA
AT1G09600	AT1G09600
FTSH1	AT1G50250
PRE3	AT1G74500
MSL6	AT1G78610
TCHQD	AT1G77290
RPT1A	AT1G53750
TIFY10B	AT1G74950
AT1G66110	AT1G66110
AT1G67340	AT1G67340
ARAC4	AT1G20090
AT1G31150	AT1G31150
SPA4	AT1G53090
AT1G22180	AT1G22180
AT1G22750	AT1G22750
MPK15	AT1G73670
AT1G46554	AT1G46554
TAF12B	AT1G17440
AT1G24160	AT1G24160
AT1G27350	AT1G27350
RPL30B	AT1G77940
AT1G02590	AT1G02590
AT1G02600	AT1G02600
AT1G36050	AT1G36050
MSL4	AT1G53470
AT1G12460	AT1G12460
NA	NA
UTR3	AT1G14360
FUT12	AT1G49710
AT1G80530	AT1G80530
APUM23	AT1G72320
DREB2D	AT1G75490
AT1G32710	AT1G32710
SULTR1	AT1G78000
SUVH3	AT1G73100
EIF4B2	AT1G13020
ACBP6	AT1G31812
AGL65	AT1G18750
AT1G62810	AT1G62810
AT1G67920	AT1G67920
WRKY65	AT1G29280
AT1G61255	AT1G61255
COG0212	AT1G76730
AT1G76740	AT1G76740
AT1G32620	AT1G32620
LACS9	AT1G77590
RHY1A	AT1G49850
AT1G07380	AT1G07380
AT1G34095	AT1G34095
AT1G19310	AT1G19310
ANN1	AT1G35720
NUP155	AT1G14850
LPA3	AT1G73060
AT1G47970	AT1G47970
AT1G54120	AT1G54120
HRD1B	AT1G65040
BHLH122	AT1G51140
AT1G08933	AT1G08933
SUC2	AT1G22710
NUCL1	AT1G48920
4CLL5	AT1G20510
AT1G20515	AT1G20515
AT1G63820	AT1G63820
NRP1	AT1G74560
BCAT2	AT1G10070
GLY3	AT1G53580
AT1G62720	AT1G62720
AT1G66173	AT1G66173
AT1G78140	AT1G78140
AT1G03810	AT1G03810
ASIL1	AT1G54060
APR2	AT1G62180
TIFY7	AT1G70700
APUM22	AT1G01410
AT1G09647	AT1G09647
AT1G78790	AT1G78790
AT1G18335	AT1G18335
NAP5	AT1G71330
AT1G54500	AT1G54500
AT1G56140	AT1G56140
AT1G17460	AT1G17460
AT1G58250	AT1G58250
SPL6	AT1G69170
SPS2	AT1G17050
THFS	AT1G50480
AT1G63290	AT1G63290
AT1G71780	AT1G71780
AT1G76600	AT1G76600
SEC3A	AT1G47550
AT1G71700	AT1G71700
AT1G62870	AT1G62870
AT1G42480	AT1G42480
AT1G09703	AT1G09703
ZYP1A	AT1G22260
AT1G22270	AT1G22270
DTX31	AT1G12950
GRXS13	AT1G03850
AAA1	AT1G80350
TOM9-1	AT1G04070
AT1G04080	AT1G04080
AT1G62420	AT1G62420
AT1G10590	AT1G10590
AMSH2	AT1G10600
AT1G19860	AT1G19860
ERD4	AT1G30360
NFYC2	AT1G56170
AT1G07233	AT1G07233
DHAR1	AT1G19570
GAMMACA1	AT1G19580
COR413IM1	AT1G29395
NA	NA
AT1G15060	AT1G15060
SEC3B	AT1G47560
AT1G67035	AT1G67035
RMR2	AT1G71980
UGT89C1	AT1G06000
NDA1	AT1G07180
AT1G61210	AT1G61210
AT1G01710	AT1G01710
P4H3	AT1G20270
AT1G20100	AT1G20100
IAA17	AT1G04250
LPLAT1	AT1G12640
AT1G12650	AT1G12650
SOV	AT1G77680
SBH1	AT1G69640
AT1G44542	AT1G44542
FPP4	AT1G19835
p_MI0005398	AT1G61224
ADO3	AT1G68050
MYB51	AT1G18570
AT1G68440	AT1G68440
AT1G80810	AT1G80810
AMC4	AT1G79340
AT1G13820	AT1G13820
SCAMP5	AT1G11180
AT1G68340	AT1G68340
AT1G79370	AT1G79370
FKFBP	AT1G07110
AT1G07119	AT1G07119
AT1G68490	AT1G68490
AT1G73480	AT1G73480
MRS2-10	AT1G80900
RHA2A	AT1G15100
AT1G51400	AT1G51400
ACC2	AT1G36180
AT1G04967	AT1G04967
GOLS2	AT1G56600
AT1G63490	AT1G63490
AT1G04190	AT1G04190
FZL	AT1G03160
NUDT1	AT1G68760
AT1G67880	AT1G67880
AT1G75530	AT1G75530
CPK30	AT1G74740
AT1G58280	AT1G58280
SRX	AT1G31170
AT1G50380	AT1G50380
GSTF6	AT1G02930
AT1G23440	AT1G23440
AT1G50660	AT1G50660
AT1G78190	AT1G78190
AT1G73570	AT1G73570
AHA9	AT1G80660
AT1G03200	AT1G03200
AT1G27000	AT1G27000
AT1G71210	AT1G71210
UGGT	AT1G71220
AT1G76440	AT1G76440
AT1G09470	AT1G09470
FAX5	AT1G50740
AT1G08717	AT1G08717
NA	NA
CLV1	AT1G75820
MED9	AT1G55080
AT1G55090	AT1G55090
ARF2-A	AT1G70490
LHCB1.3	AT1G29930
AT1G26090	AT1G26090
AT1G78230	AT1G78230
AT1G25570	AT1G25570
AT1G07210	AT1G07210
IRX10	AT1G27440
RBL6	AT1G12750
AT1G12760	AT1G12760
AT1G01830	AT1G01830
BIM2	AT1G69010
AT1G18270	AT1G18270
SLP2	AT1G18480
AT1G17690	AT1G17690
DCP5	AT1G26110
AERO1	AT1G72280
NA	NA
AT1G73020	AT1G73020
CHMP1B	AT1G73030
AT1G79910	AT1G79910
AT1G16720	AT1G16720
AT1G51100	AT1G51100
PIP5K1	AT1G21980
AT1G19460	AT1G19460
AT1G09567	AT1G09567
AT1G79630	AT1G79630
AT1G68872	AT1G68872
AT1G23000	AT1G23000
NA	NA
AT1G09800	AT1G09800
AT1G04733	AT1G04733
SUVR1	AT1G04050
CYP71B28	AT1G13090
AT1G71360	AT1G71360
AT1G17150	AT1G17150
AT1G63410	AT1G63410
AT1G18382	AT1G18382
AT1G74860	AT1G74860
CRT2	AT1G09210
CXE6	AT1G68620
SEI2	AT1G29760
AT1G69460	AT1G69460
AT1G30630	AT1G30630
AT1G27840	AT1G27840
GLP1	AT1G72610
CMTA4	AT1G67310
AT1G14205	AT1G14205
AT1G23070	AT1G23070
AT1G59690	AT1G59690
CYCA1-1	AT1G44110
AT1G80550	AT1G80550
AT1G80555	AT1G80555
AT1G16560	AT1G16560
AT1G77800	AT1G77800
AT1G49020	AT1G49020
AT1G11640	AT1G11640
RBP45B	AT1G11650
AT2G22482	AT2G22482
CXIP4	AT2G28910
AT2G43795	AT2G43795
COR413PM1	AT2G15970
PAB4	AT2G23350
AT2G42640	AT2G42640
LBD11	AT2G28500
PAPS2	AT2G25850
HMGCL	AT2G26800
WRKY59	AT2G21900
XI-D	AT2G33240
AT2G33250	AT2G33250
ALDH6B2	AT2G14170
NA	NA
AT2G46780	AT2G46780
NA	NA
AT2G19710	AT2G19710
LACS8	AT2G04350
PRS4	AT2G42910
AT2G35950	AT2G35950
AT2G25280	AT2G25280
AT2G27470	AT2G27470
CML48	AT2G27480
AT2G18860	AT2G18860
P5CSA	AT2G39800
AT2G24550	AT2G24550
WRKY54	AT2G40750
SCPL46	AT2G33530
NA	NA
AT2G30170	AT2G30170
AT2G04075	AT2G04075
AT2G44820	AT2G44820
PI4KG4	AT2G46500
p_MI0000215	AT2G28056
IPS2	AT2G22240
AT2G22241	AT2G22241
ABI5	AT2G36270
VHA-A2	AT2G21410
AT2G36240	AT2G36240
ADO2	AT2G18915
SUVH6	AT2G22740
GATA2	AT2G45050
AT2G01275	AT2G01275
AT2G09105	AT2G09105
AT2G18310	AT2G18310
AT2G35010	AT2G35010
AT2G30310	AT2G30310
AT2G25890	AT2G25890
ELF4	AT2G40080
